what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1269658742362
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1269658742389
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1269658742389
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1269658742438
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269658742439
os,sysinfo,,,"linux",1269658742443
arch,sysinfo,,,"x86",1269658742443
ws,sysinfo,,,"gtk",1269658742443
locale,sysinfo,,,"en_CA",1269658742443
processors,sysinfo,,,"2",1269658742443
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1269658742443
java.runtime.version,sysinfo,,,"1.6.0_0-b16",1269658742443
java.specification.name,sysinfo,,,"Java Platform API Specification",1269658742443
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269658742443
java.specification.version,sysinfo,,,"1.6",1269658742443
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269658742443
java.version,sysinfo,,,"1.6.0_0",1269658742443
java.vm.info,sysinfo,,,"mixed mode, sharing",1269658742443
java.vm.name,sysinfo,,,"OpenJDK Client VM",1269658742443
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269658742443
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269658742443
java.vm.specification.version,sysinfo,,,"1.0",1269658742443
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269658742443
java.vm.version,sysinfo,,,"14.0-b16",1269658742443
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1269658742671
